BIOCHEMICAL,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
10-Heptadecenoic acid_ (Z)-_ TMS derivative,10Z-Heptadecenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C17H32O2,268.24023,GDTXICBNEOEPAZ-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCCC(=O)O,5312435.0
1_5-anhydro-D-sorbitol,"1,5-Anhydrosorbitol",Carbohydrates,Monosaccharides,Hexoses,C6H12O5,164.068475,MPCAJMNYNOGXPB-SLPGGIOYSA-N,OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,64960.0
1-Decanol_ 2-hexyl-,1-Decanol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C10H22O,158.167065,MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,8174.0
1-Dodecanol_ TMS derivative,Dodecanol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C12H26O,186.198365,LQZZUXJYWNFBMV-UHFFFAOYSA-N,CCCCCCCCCCCCO,8193.0
1-Heptanol_ TMS derivative,n-Heptanol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C7H16O,116.120115,BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO,8129.0
1-hexadecanol,Cetyl alcohol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C16H34O,242.260965,BXWNKGSJHAJOGX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCO,2682.0
1-Hexadecanol_ TBDMS derivative,Cetyl alcohol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C16H34O,242.260965,BXWNKGSJHAJOGX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCO,2682.0
1-Monomyristin_ 2TMS derivative,MG 14:0,Glycerolipids,Monoradylglycerols,MG,C17H34O4,302.24571,,,
1 monoolein,MG 18:1,Glycerolipids,Monoradylglycerols,MG,C21H40O4,356.29266,,,
1-Monopalmitin_ 2TMS derivative,MG 16:0/0:0/0:0,Glycerolipids,Monoradylglycerols,MG,C19H38O4,330.27701,,,
1-Nonene_ 4_6_8-trimethyl-,1-Nonene,Fatty Acyls,Hydrocarbons,Hydrocarbons,C9H18,126.14085,JRZJOMJEPLMPRA-UHFFFAOYSA-N,C=CCCCCCCC,31285.0
1-Octadecanol_ TMS derivative,Stearyl alcohol,Fatty Acyls,Fatty alcohols,Fatty alcohols,C18H38O,270.292265,GLDOVTGHNKAZLK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCO,8221.0
1-octadecene,1-Octadecene,Fatty Acyls,Hydrocarbons,Hydrocarbons,C18H36,252.2817,CCCMONHAUSKTEQ-UHFFFAOYSA-N,C=CCCCCCCCCCCCCCCCC,8217.0
1-stearoyl-rac-glycerol,MG 18:0,Glycerolipids,Monoradylglycerols,MG,C21H42O4,358.30831,,,
2-Ethyl-3-hydroxypropionic acid_ di-TMS,2-Ethyl-hydracrylic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C5H10O3,118.062995,ZMZQVAUJTDKQGE-UHFFFAOYSA-N,CCC(CO)C(=O)O,188979.0
2-hydroxybutyric acid,2-Hydroxybutyric acid,Fatty Acyls,Fatty acids,Hydroxy FA,C4H8O3,104.047345,AFENDNXGAFYKQO-UHFFFAOYSA-N,CCC(O)C(=O)O,11266.0
2-Hydroxybutyric acid_ 2TMS derivative,2-Hydroxybutyric acid,Fatty Acyls,Fatty acids,Hydroxy FA,C4H8O3,104.047345,AFENDNXGAFYKQO-UHFFFAOYSA-N,CCC(O)C(=O)O,11266.0
2-ketoisocaproic acid 2,Ketoleucine,Organic acids,Keto acids,Short-chain keto acids,C6H10O3,130.062995,BKAJNAXTPSGJCU-UHFFFAOYSA-N,CC(C)CC(=O)C(=O)O,70.0
2-Methoxyestradiol_ 2TMS derivative,2-Methoxyestradiol-17beta,Sterol Lipids,Steroids,C18 Steroids,C19H26O3,302.188195,CQOQDQWUFQDJMK-SSTWWWIQSA-N,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,66414.0
2-Monomyristin_ 2TMS derivative,MG 14:0,Glycerolipids,Monoradylglycerols,MG,C17H34O4,302.24571,,,
2-Palmitoylglycerol_ 2TMS derivative,MG 0:0/16:0/0:0,Glycerolipids,Monoradylglycerols,MG,C19H38O4,330.27701,BBNYCLAREVXOSG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,123409.0
2-Propenoic acid_ 2_3_3-tris[(trimethylsilyl)oxy]-_ trimethylsilyl ester,Acrylic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C3H4O2,72.02113,NIXOWILDQLNWCW-UHFFFAOYSA-N,C=CC(=O)O,6581.0
